"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ASIX","AdvanSix Inc.","29.46","855119658.9","n/a","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/asix",
"AEM","Agnico Eagle Mines Limited","42.89","10087612583.01","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aem",
"APD","Air Products and Chemicals, Inc.","191.49","42057172934.79","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/apd",
"AKS","AK Steel Holding Corporation","2.85","901479313.35","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/aks",
"AGI","Alamos Gold Inc.","4.92","1914246077.52","n/a","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/agi",
"AIN","Albany International Corporation","71.93","2090270119.26","n/a","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","84.2","8915593537.8","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/alb",
"AA","Alcoa Corporation","29.46","5465319743.04","n/a","2016","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/aa",
"ATI","Allegheny Technologies Incorporated","26.5","3341902995.5","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/ati",
"ACH","Aluminum Corporation of China Limited","10.12","6890778010.16","n/a","2001","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/ach",
"AMRC","Ameresco, Inc.","16.24","751920217.44","n/a","2010","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/amrc",
"AVD","American Vanguard Corporation","17.43","517503968.31","n/a","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/avd",
"AU","AngloGold Ashanti Limited","12.68","5234100308.48","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/au",
"MT","ArcelorMittal","21.45","21649562713.35","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/mt",
"AGX","Argan, Inc.","50.77","790525403.63","n/a","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/agx",
