"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AIR","AAR Corp.","33.48","1174028730.12","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/air",
"ADNT","Adient plc","14.37","1344059855.13","n/a","2016","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adnt",
"WMS","Advanced Drainage Systems, Inc.","26.26","1504047224.68","n/a","2014","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/wms",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","35.29","2776180168.64","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/ajrd",
"AGCO","AGCO Corporation","70.44","5403687035.64","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","81.56","25896594275.64","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/a",
"ALG","Alamo Group, Inc.","99.33","1166141550.42","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/alg",
"ALSN","Allison Transmission Holdings, Inc.","45.77","5732962176.84","n/a","2012","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/alsn",
"AXL","American Axle & Manufacturing Holdings, Inc.","15.03","1679484965.4","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/axl",
"AP","Ampco-Pittsburgh Corporation","3.35","41857734.1","n/a","n/a","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","97.81","29155910010.1","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aph",
"APTV","Aptiv PLC","82.58","21297326010.76","n/a","2011","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/aptv",
"ARNC","Arconic Inc.","19.66","8907615181.18","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/arnc",
"ACA","Arcosa, Inc.","30.72","1493771888.64","n/a","2018","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aca",
"ALV","Autoliv, Inc.","76.86","6703814975.76","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/alv",
"AVX","AVX Corporation","17.86","3014763999.36","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/avx",
"BW","Babcock","0.435","73397344.245","n/a","2015","Capital Goods","Building Products","https://www.nasdaq.com/symbol/bw",
"BMI","Badger Meter, Inc.","55.73","1622866851.18","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bmi",
"B","Barnes Group, Inc.","52.69","2706979257.51","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/b",
"BZH","Beazer Homes USA, Inc.","11.75","377609597.25","n/a","1994","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/bzh",
"BIO","Bio-Rad Laboratories, Inc.","307.4","9210381509.6","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/bio",
"BXC","BlueLinx Holdings Inc.","25.9","240611000","n/a","2004","Capital Goods","Wholesale Distributors","https://www.nasdaq.com/symbol/bxc",
"BA","Boeing Company (The)","391.54","221017267401.48","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/ba",
"BWA","BorgWarner Inc.","40.52","8412336210.64","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/bwa",
"CRR","Carbo Ceramics, Inc.","3.52","98884600.32","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/crr",
"CAT","Caterpillar, Inc.","140.25","80719869004.5","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/cat",
"CPAC","Cementos Pacasmayo S.A.A.","9.8307","119108761.2","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cpac",
"CX","Cemex S.A.B. de C.V.","4.76","7140625535.4","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cx",
"CCS","Century Communities, Inc.","23.88","723501864.24","n/a","2014","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/ccs",
"CIR","CIRCOR International, Inc.","33.88","673307946.08","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/cir",
"CNHI","CNH Industrial N.V.","10.49","14201697239.42","n/a","2013","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/cnhi",
"CFX","Colfax Corporation","30.15","3537889701.3","n/a","2008","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/cfx",
"CFXA","Colfax Corporation","134.99","0","n/a","n/a","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/cfxa",
"FIX","Comfort Systems USA, Inc.","53.01","1954463433.12","n/a","1997","Capital Goods","Engineering & Construction","https://www.nasdaq.com/symbol/fix",
"CBPX","Continental Building Products, Inc.","25.05","883124774.1","n/a","2014","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cbpx",
"CPS","Cooper-Standard Holdings Inc.","49.49","862913529.31","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/cps",
"CR","Crane Co.","86.25","5164822758.75","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/cr",
"CRH","CRH PLC","31.79","25731410904.21","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/crh",
"CUB","Cubic Corporation","56.42","1757496089.44","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cub",
"DHI","D.R. Horton, Inc.","41.71","15575478335.2","n/a","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/dhi",
"DAN","Dana Incorporated","18.42","2642551822.62","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/dan",
"DHR","Danaher Corporation","131.82","94342728242.88","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/dhr",
"DE","Deere & Company","161.91","51567278861.07","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/de",
"DLPH","Delphi Technologies PLC","20.84","1844999919.44","n/a","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/dlph",
"DCI","Donaldson Company, Inc.","51.65","6593349760","n/a","n/a","Capital Goods","Pollution Control Equipment","https://www.nasdaq.com/symbol/dci",
"PLOW","Douglas Dynamics, Inc.","38.3","873064279.6","n/a","2010","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/plow",
"DCO","Ducommun Incorporated","43.97","502399197.38","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/dco",
"EXP","Eagle Materials Inc","83.71","3842171052.61","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/exp",
"ERJ","Embraer S.A.","19.32","3542936627.16","n/a","2000","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/erj",
"EME","EMCOR Group, Inc.","74.91","4194782238.57","n/a","n/a","Capital Goods","Engineering & Construction","https://www.nasdaq.com/symbol/eme",
"ESE","ESCO Technologies Inc.","68.47","1774684816.73","n/a","n/a","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/ese",
"FSS","Federal Signal Corporation","26.29","1584077318.23","n/a","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/fss",
"RACE","Ferrari N.V.","135.05","33008047226.5","n/a","2015","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/race",
"FCAU","Fiat Chrysler Automobiles N.V.","15.24","23880765659.76","n/a","2014","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/fcau",
"FLS","Flowserve Corporation","46.46","6085469157.88","n/a","n/a","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/fls",
