"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AOS","A.O Smith Corporation","53.99","9062908738.71","n/a","n/a","Consumer Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/aos",
"ABB","ABB Ltd","19.14","40805760450.84","n/a","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/abb",
"ACCO","Acco Brands Corporation","8.7","889200360.6","n/a","n/a","Consumer Durables","Publishing","https://www.nasdaq.com/symbol/acco",
"AYI","Acuity Brands, Inc. ","123.66","4933092576.42","n/a","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/ayi",
"AME","AMTEK, Inc.","84","19111573824","n/a","n/a","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/ame",
"APHA","Aphria Inc.","9.94","2490779135.88","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/apha",
"AIT","Applied Industrial Technologies, Inc.","59.91","2322095064.84","n/a","n/a","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/ait",
"ARD","Ardagh Group S.A.","13.85","3273438885.3","n/a","2017","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/ard",
"ABG","Asbury Automotive Group Inc","70.95","1383464266.8","n/a","2002","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/abg",
"ASH","Ashland Global Holdings Inc.","78.59","4921187443.46","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/ash",
"ACB","Aurora Cannabis Inc.","9.18","9300573691.02","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/acb",
"AN","AutoNation, Inc.","36.22","3261931039.92","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/an",
"AVY","Avery Dennison Corporation","113.69","9546875249.23","n/a","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/avy",
"AZZ","AZZ Inc.","41.57","1084444529.87","n/a","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/azz",
"BLL","Ball Corporation","58.4","19515500610.4","n/a","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/bll",
"BMS","Bemis Company, Inc.","56.39","5143444059.71","n/a","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/bms",
"BRC","Brady Corporation","46.94","2472039710.8","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","https://www.nasdaq.com/symbol/brc",
"CWH","Camping World Holdings, Inc.","13.97","519588934.15","n/a","2016","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cwh",
"CTST","CannTrust Holdings Inc.","8.01","846166779.99","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/ctst",
"CGC","Canopy Growth Corporation","42.48","14600780154.72","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cgc",
"KMX","CarMax Inc","69.07","11747918345.38","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/kmx",
"CVNA","Carvana Co.","58.94","2428406036.56","n/a","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cvna",
"CLX","Clorox Company (The)","158.54","20319166378.06","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/clx",
"CODI","Compass Diversified Holdings","15.84","948816000","n/a","2006","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/codi",
"CTB","Cooper Tire & Rubber Company","30.62","1534517166.3","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/ctb",
