"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"APC","Anadarko Petroleum Corporation","45.99","22975499872.08","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apc",
"ANDX","Andeavor Logistics LP","35.51","8719527799.32","n/a","2011","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/andx",
"AR","Antero Resources Corporation","8.72","2691436894.4","n/a","2013","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","34.97","13127933377.39","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apa",
"ARCH","Arch Coal, Inc.","91.76","1598376248.96","n/a","2016","Energy","Coal Mining","https://www.nasdaq.com/symbol/arch",
"AT","Atlantic Power Corporation","2.54","278604030.04","n/a","n/a","Energy","Electric Utilities: Central","https://www.nasdaq.com/symbol/at",
"BHGE","Baker Hughes, a GE company","27.84","14334871206.72","n/a","2017","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/bhge",
"BAS","Basic Energy Services, Inc.","3.76","101169154.4","n/a","2005","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/bas",
"BTE","Baytex Energy Corp","1.72","956100127.24","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bte",
"BBL","BHP Group Plc","49.75","125792875000","n/a","n/a","Energy","Coal Mining","https://www.nasdaq.com/symbol/bbl",
"BSM","Black Stone Minerals, L.P.","17.83","3658362769.87","n/a","2015","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bsm",
"BE","Bloom Energy Corporation","12.87","754357546.8","n/a","2018","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/be",
"BCEI","Bonanza Creek Energy, Inc.","22.85","469763804.35","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bcei",
"BPMP","BP Midstream Partners LP","14.41","1509584942.58","n/a","2017","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/bpmp",
"BP","BP p.l.c.","44.09","148884460536.74","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/bp",
"BPT","BP Prudhoe Bay Royalty Trust","26.88","575232000","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/bpt",
"BGG","Briggs & Stratton Corporation","12.18","512839764.78","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bgg",
"BC","Brunswick Corporation","50.93","4432864897.12","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bc",
"BPL","Buckeye Partners L.P.","34.73","5341371859.07","n/a","1986","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/bpl",
"BWXT","BWX Technologies, Inc.","50.84","4836704936.28","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bwxt",
"CJ","C&J Energy Services, Inc","16","1056998880","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/cj",
"COG","Cabot Oil & Gas Corporation","25.87","10952510757.5","n/a","1990","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cog",
"WHD","Cactus, Inc.","36.25","1372898823.75","n/a","2018","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/whd",
"CRC","California Resources Corporation","27.06","1320508002.66","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/crc",
"CPE","Callon Petroleum Company","7.66","1745592137.06","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cpe",
"CPE^A","Callon Petroleum Company","52.64","0","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cpe^a",
"CNQ","Canadian Natural Resources Limited","27.94","33539703395.44","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cnq",
"CVE","Cenovus Energy Inc","9.13","11218851284.85","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cve",
"CHAP","Chaparral Energy, Inc.","5.61","260591232","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/chap",
"CHK","Chesapeake Energy Corporation","3.15","5139933009.75","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/chk",
"CHKR","Chesapeake Granite Wash Trust","1.44","67320000","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/chkr",
"CVX","Chevron Corporation","124.94","237393841234.4","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/cvx",
"SNP","China Petroleum & Chemical Corporation","80.94","97995037374","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/snp",
"CYD","China Yuchai International Limited","16.15","659861399.65","n/a","1994","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cyd",
"XEC","Cimarex Energy Co","70.06","7105510281.48","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/xec",
"CEO","CNOOC Limited","190.75","1976105145","n/a","2001","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ceo",
"CEIX","CNX Resources Corporation","34.18","943624931.06","n/a","2017","Energy","Coal Mining","https://www.nasdaq.com/symbol/ceix",
"CNX","CNX Resources Corporation","10.76","2134087311.52","n/a","1999","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cnx",
"CRK","Comstock Resources, Inc.","7.03","744273579.92","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/crk",
"CXO","Concho Resources Inc.","112.11","22488619349.52","n/a","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cxo",
"COP","ConocoPhillips","67.69","76787813122.86","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/cop",
"CCR","CONSOL Coal Resources LP","17.6","484392092.8","n/a","2015","Energy","Coal Mining","https://www.nasdaq.com/symbol/ccr",
"CLR","Continental Resources, Inc.","46.65","17541096251.25","n/a","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/clr",
"CTRA","Contura Energy, Inc.","58.79","1127987210.01","n/a","n/a","Energy","Coal Mining","https://www.nasdaq.com/symbol/ctra",
"CLB","Core Laboratories N.V.","68.93","3055927041.82","n/a","1995","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/clb",
"CPG","Crescent Point Energy Corporation","3.26","1790807376.16","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cpg",
"CRT","Cross Timbers Royalty Trust","11.26","67560000","n/a","1992","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/crt",
"CAPL","CrossAmerica Partners LP","18.4","633771679.2","n/a","2012","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/capl",
"CMI","Cummins Inc.","162.33","25540819416.42","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cmi",
"CVI","CVR Energy Inc.","41.79","4201173732.21","n/a","2007","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/cvi",
"CELP","Cypress Energy Partners, L.P.","7.4","88971458","n/a","2014","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/celp",
"DKL","Delek Logistics Partners, L.P.","32.61","795925477.05","n/a","2012","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/dkl",
"DK","Delek US Holdings, Inc.","36.9","2858840082.9","n/a","2017","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/dk",
"DNR","Denbury Resources Inc.","2.13","980742126.69","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/dnr",
"DVN","Devon Energy Corporation","31.54","13823982000","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/dvn",
"DO","Diamond Offshore Drilling, Inc.","11.24","1544807087.72","n/a","1995","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/do",
"DRQ","Dril-Quip, Inc.","46.42","1659925352.8","n/a","1997","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/drq",
"ESTE","Earthstone Energy, Inc.","7.27","466514278.79","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/este",
"ECT","ECA Marcellus Trust I","1.8","31689000","n/a","2010","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ect",
"EC","Ecopetrol S.A.","21.88","44981663979.92","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ec",
"EMR","Emerson Electric Company","70.13","43103290711.67","n/a","n/a","Energy","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/emr",
"ENB","Enbridge Inc","36.4","73642014919.2","n/a","n/a","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/enb",
"ENBA","Enbridge Inc","26.1","0","n/a","2018","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/enba",
"ECA","Encana Corporation","7.4","11032661539.2","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eca",
"ERF","Enerplus Corporation","8.66","2067407013.32","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/erf",
