"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ABM","ABM Industries Incorporated","36.99","2450178982.44","n/a","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",
"AEB","Aegon NV","21.8","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.92","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","4.95","10134458314.2","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.83","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeh",
"AMG","Affiliated Managers Group, Inc.","111.39","5797705249.95","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amg",
"AFL","Aflac Incorporated","49.88","37352629670.04","n/a","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/afl",
"Y","Alleghany Corporation","621.73","8989646295.32","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/y",
"AB","AllianceBernstein Holding L.P.","29.07","2806949141.46","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/ab",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","12.17","1153735240.77","n/a","2005","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/nfj",
"ALL","Allstate Corporation (The)","95.09","31566371559.36","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/all",
"ALLY","Ally Financial Inc.","28.32","11358153861.6","n/a","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/ally",
"AEL","American Equity Investment Life Holding Company","27.33","2473433079.03","n/a","2003","Finance","Life Insurance","https://www.nasdaq.com/symbol/ael",
"AXP","American Express Company","111.7","93688119207","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/axp",
"AFG","American Financial Group, Inc.","96.97","8660623234.06","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afg",
"AFGB","American Financial Group, Inc.","25.0786","0","n/a","2019","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afgb",
"AFGE","American Financial Group, Inc.","25.6599","0","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afge",
"AFGH","American Financial Group, Inc.","26.05","0","n/a","2015","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afgh",
"AIG","American International Group, Inc.","43.99","38248703832.66","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/aig",
"ARL","American Realty Investors, Inc.","11.87","189885292.12","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/arl",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","132.68","17965233022.28","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amp",
"AON","Aon plc","173.44","41625503220.48","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/aon",
"APO","Apollo Global Management, LLC","28.65","11595905056.8","n/a","2011","Finance","Investment Managers","https://www.nasdaq.com/symbol/apo",
"ARES","Ares Management Corporation","23.63","2433950989.03","n/a","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/ares",
"ARGD","Argo Group International Holdings, Ltd.","25.51","0","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argd",
"ARGO","Argo Group International Holdings, Ltd.","71.28","2421373260.24","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argo",
