"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"MMM","3M Company","211.94","122055533033.84","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/mmm",
"AAC","AAC Holdings, Inc.","2.11","51910969.05","n/a","2014","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/aac",
"ABT","Abbott Laboratories","79.66","139920421628.54","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","80.78","119406146000.82","n/a","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abbv",
"AGN","Allergan plc.","147.65","48756738048.65","n/a","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agn",
"ARA","American Renal Associates Holdings, Inc","6.11","198679267.15","n/a","2016","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/ara",
"ABC","AmerisourceBergen Corporation (Holding Co)","79.09","16695099637.37","n/a","n/a","Health Care","Other Pharmaceuticals","https://www.nasdaq.com/symbol/abc",
"AMRX","Amneal Pharmaceuticals, Inc.","14.29","1650892762.15","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amrx",
"ANTM","Anthem, Inc.","288.33","74173847160.63","n/a","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/antm",
"RCUS","Arcus Biosciences, Inc.","11.89","529516322.66","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rcus",
"AZN","Astrazeneca PLC","41.27","104601923291.32","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/azn",
"AVNS","Avanos Medical, Inc.","43.14","2047133075.58","n/a","2014","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/avns",
"BHC","Bausch Health Companies Inc.","25.07","8799802423.97","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bhc",
"BAX","Baxter International Inc.","81.77","41794060966.84","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/bax",
"BDX","Becton, Dickinson and Company","251.39","67639842846.81","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/bdx",
