"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACN","Accenture plc","176.32","112462640152.96","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",
"BABA","Alibaba Group Holding Limited","180.89","468900210429.62","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",
"ADS","Alliance Data Systems Corporation","176.12","9333952282.2","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ads",
"ATKR","Atkore International Group Inc.","22.29","1024904698.59","n/a","2016","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atkr",
"BFAM","Bright Horizons Family Solutions Inc.","125.75","7287041983","n/a","2013","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","104.99","12145324882.22","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/br",
"CAE","CAE Inc","22.47","5962224134.16","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cae",
"CAJ","Canon, Inc.","29.4","31744644796.2","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/caj",
"CBZ","CBIZ, Inc.","20.41","1119452272.25","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cbz",
"CNDT","Conduent Incorporated","13.98","2958189794.82","n/a","2016","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cndt",
"DHX","DHI Group, Inc.","2.45","134442804.3","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/dhx",
"DBD","Diebold Nixdorf Incorporated","11.61","888900005.88","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/dbd",
"DLB","Dolby Laboratories","63.9","6557208216.3","n/a","2005","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/dlb",
"KODK","Eastman Kodak Company","3.12","133307154.24","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/kodk",
"EEX","Emerald Expositions Events, Inc.","13.2","948277783.2","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/eex",
"ENR","Energizer Holdings, Inc.","47.8","3340009321.6","n/a","2015","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/enr",
"ENV","Envestnet, Inc","66.53","3203384438.69","n/a","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/env",
"FICO","Fair Isaac Corporation","272.77","7929751769.54","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fico",
"FTCH","Farfetch Limited","26.95","8081146150","n/a","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ftch",
"FIS","Fidelity National Information Services, Inc.","113.78","36766209276","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fis",
"FDC","First Data Corporation","26.65","25134059388.75","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fdc",
"FLT","FleetCor Technologies, Inc.","249.06","21383898334.26","n/a","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/flt",
"GPN","Global Payments Inc.","138.66","21887528699.04","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/gpn",
"GRUB","GrubHub Inc.","70.48","6413635527.12","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/grub",
"IMAX","Imax Corporation","22.68","1393313798.52","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/imax",
"ITGR","Integer Holdings Corporation","76.73","2495004626.21","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/itgr",
"LC","LendingClub Corporation","3.11","1336588478.65","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/lc",
"LKSD","LSC Communications, Inc.","6.67","222217379.83","n/a","2016","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/lksd",
"MA","Mastercard Incorporated","239.05","242453508798.2","n/a","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ma",
"MMS","Maximus, Inc.","71.38","4553899669.64","n/a","1997","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/mms",
"MOGU","MOGU Inc.","13.66","1460199742.48","n/a","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/mogu",
"MSCI","MSCI Inc","201.88","17092260440.36","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/msci",
"NCR","NCR Corporation","28.26","3361316576.04","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/ncr",
"NLSN","Nielsen N.V.","24.28","8630257360.44","n/a","2011","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/nlsn",
"PAR","PAR Technology Corporation","25.1","407708361.1","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/par",
"PBI","Pitney Bowes Inc.","7.05","1305016539.45","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/pbi",
"QUAD","Quad Graphics, Inc","12.14","458404797.52","n/a","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/quad",
"RRD","R.R. Donnelley & Sons Company","4.85","341655107.2","n/a","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/rrd",
"RBA","Ritchie Bros. Auctioneers Incorporated","34.56","3765354958.08","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rba",
"BID","Sotheby&#39;s","37.5","1747144800","n/a","1988","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/bid",
"SPB           ","Spectrum Brands Holdings, Inc.","57.5","2828782420","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/spb",
"TSS","Total System Services, Inc.","96.17","17060656574.25","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/tss",
"TNET","TriNet Group, Inc.","60.25","4223356360.25","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/tnet",
"VVI","Viad Corp","56.82","1147849059.54","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/vvi",
"V","Visa Inc.","157.26","356136588165.6","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/v",
"WAGE","WageWorks, Inc.","38.05","1516401208.85","n/a","2012","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wage",
"WU","Western Union Company (The)","18.66","8133722682.54","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wu",
"WEX","WEX Inc.","196.08","8457986290.8","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wex",
"WNS","WNS (Holdings) Limited","53.41","2668864051.7","n/a","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wns",
"WP","Worldpay, Inc.","114.12","34328619792","n/a","2012","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wp",
