"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DDD","3D Systems Corporation","10.95","1277616621.15","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ddd",
"WUBA","58.com Inc.","67.37","9985735609.93","n/a","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","20.59","1969530231.82","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"ATEN","A10 Networks, Inc.","7.22","541867122.56","n/a","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/aten",
"AAN","Aaron&#39;s,  Inc.","53.35","3615959821.1","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aan",
"ATU","Actuant Corporation","25.1","1534233333.4","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atu",
"AER","Aercap Holdings N.V.","47.64","6797020992.96","n/a","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aer",
"HIVE","Aerohive Networks, Inc.","4.52","252527468.68","n/a","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/hive",
"AL","Air Lease Corporation","35.42","3935805545.98","n/a","2011","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/al",
"AYR","Aircastle Limited","20.59","1546849281.6","n/a","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/ayr",
"AYX","Alteryx, Inc.","84.42","5215823767.98","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ayx",
"AMBR","Amber Road, Inc.","8.77","246288006.47","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ambr",
"AMN","AMN Healthcare Services Inc","48.29","2263117175.99","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/amn",
"PLAN","Anaplan, Inc.","38.05","4809520000","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/plan",
"APY","Apergy Corporation","41.66","3222929832.04","n/a","2018","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/apy",
"AQ","Aquantia Corp.","9.26","325714434.7","n/a","2017","Technology","Semiconductors","https://www.nasdaq.com/symbol/aq",
"ANET","Arista Networks, Inc.","318.36","24109680728.28","n/a","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/anet",
"ASX","ASE Technology Holding Co., Ltd.","4.45","9295149698.25","n/a","2018","Technology","Semiconductors","https://www.nasdaq.com/symbol/asx",
"ASGN","ASGN Incorporated","64.4","3390997971.2","n/a","1992","Technology","Professional Services","https://www.nasdaq.com/symbol/asgn",
"AUO","AU Optronics Corp","3.63","3493600974.93","n/a","2002","Technology","Semiconductors","https://www.nasdaq.com/symbol/auo",
"ATHM","Autohome Inc.","104","12182649024","n/a","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/athm",
"AVLR","Avalara, Inc.","56.54","3927866310.5","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/avlr",
"BHE","Benchmark Electronics, Inc.","26.95","1095651306.75","n/a","n/a","Technology","Electrical Products","https://www.nasdaq.com/symbol/bhe",
"BITA","Bitauto Holdings Limited","15.74","502955960","n/a","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/bita",
"BKI","Black Knight, Inc.","54.38","8157648155.22","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bki",
