"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ALK","Alaska Air Group, Inc.","57.32","7085475665","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/alk",
"ASC","Ardmore Shipping Corporation","6.52","215797858.12","n/a","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/asc",
"AVH","Avianca Holdings S.A.","4.18","523183388.2","n/a","2013","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/avh",
"AZUL","Azul S.A.","30.01","3387973038.03","n/a","2017","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/azul",
"BEST","BEST Inc.","5.23","2025056000","n/a","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/best",
"BCO","Brink&#39;s Company (The)","77.84","3869038990.32","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/bco",
"BRS","Bristow Group Inc","1.21","43315803.85","n/a","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/brs",
"CNI","Canadian National Railway Company","90.67","65743337446.94","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/cni",
"CP","Canadian Pacific Railway Limited","209.28","29288844825.6","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/cp",
"CEA","China Eastern Airlines Corporation Ltd.","36.19","10471638493.47","n/a","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/cea",
"ZNH","China Southern Airlines Company Limited","45.82","11241636649.9","n/a","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/znh",
"VLRS","Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","8.64","861853037.76","n/a","2013","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/vlrs",
"CPA","Copa Holdings, S.A.","83.3","3514871738.7","n/a","2005","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/cpa",
"CAAP","Corporacion America Airports SA","8.06","1289779431.72","n/a","2018","Transportation","Aerospace","https://www.nasdaq.com/symbol/caap",
"CMRE","Costamare Inc.","5.37","609097007.82","n/a","2010","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/cmre",
"DAC","Danaos Corporation","0.8738","186402908.779","n/a","2006","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dac",
"DAL","Delta Air Lines, Inc.","52.18","35427616113.64","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/dal",
"DHT","DHT Holdings, Inc.","4.59","652860646.65","n/a","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dht",
"DSSI","Diamond S Shipping Inc.","10.37","0","n/a","2019","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dssi",
"DSX","Diana Shipping inc.","2.9","306716617.9","n/a","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dsx",
"LPG","Dorian LPG Ltd.","6.54","360858829.14","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/lpg",
"ERA","Era Group, Inc.","11.58","252326740.92","n/a","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/era",
"EURN","Euronav NV","8.42","1843830949.16","n/a","2015","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/eurn",
"FDX","FedEx Corporation","186.45","48584136407.4","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/fdx",
"FRO","Frontline Ltd.","6.81","1156482317.52","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/fro",
"GNK","Genco Shipping & Trading Limited ","7.88","328163214.64","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/gnk",
"GWR","Genesee & Wyoming, Inc.","89.49","5083513903.65","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/gwr",
"GSL","Global Ship Lease, Inc.","5.78","57470482.2","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/gsl",
"GOL","Gol Linhas Aereas Inteligentes S.A.","13.2","301963200","n/a","2004","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/gol",
"PAC","Grupo Aeroportuario Del Pacifico, S.A. de C.V.","90.69","5087709000","n/a","2006","Transportation","Aerospace","https://www.nasdaq.com/symbol/pac",
"ASR","Grupo Aeroportuario del Sureste, S.A. de C.V.","160.36","4810800000","n/a","n/a","Transportation","Aerospace","https://www.nasdaq.com/symbol/asr",
"GSH","Guangshen Railway Company Limited","19.39","2746995648.6","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/gsh",
"KSU","Kansas City Southern","117.79","11889905763.45","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/ksu",
"KSU^","Kansas City Southern","26.5","0","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/ksu^",
"KNX","Knight Transportation, Inc.","33.12","5730054403.68","n/a","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/knx",
"LTM","LATAM Airlines Group S.A.","10.88","6597715699.84","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/ltm",
"NVGS","Navigator Holdings Ltd.","11.19","622794041.76","n/a","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nvgs",
"NNA","Navios Maritime Acquisition Corporation","6.01","79904536.64","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nna",
"NM","Navios Maritime Holdings Inc.","2.64","3292246.32","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nm",
"NMM","Navios Maritime Partners LP","0.94","157534378.16","n/a","2007","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nmm",
"NAO","Nordic American Offshore Ltd.","2.93","181621.91","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nao",
"NSC","Norfolk Souther Corporation","193.54","51763303794.04","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/nsc",
"OSG","Overseas Shipholding Group, Inc.","2.4","204632856","n/a","2015","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/osg",
"RRTS","Roadrunner Transportation Systems, Inc","0.4229","397119291.1494","n/a","2010","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/rrts",
"SB","Safe Bulkers, Inc","1.51","152861405.69","n/a","2008","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sb",
"SNDR","Schneider National, Inc.","21.34","3777704366.48","n/a","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/sndr",
"SALT","Scorpio Bulkers Inc.","3.97","282732514.26","n/a","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/salt",
"SLTB","Scorpio Bulkers Inc.","25.2703","0","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sltb",
"SBNA","Scorpio Tankers Inc.","25.48","0","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sbna",
"STNG","Scorpio Tankers Inc.","19.57","1005838702.9","n/a","2010","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/stng",
"CKH","SEACOR Holdings, Inc.","43.4","796166967.4","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/ckh",
"SMHI","SEACOR Marine Holdings Inc.","13.78","289973642.4","n/a","2017","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/smhi",
"SSW","Seaspan Corporation","9.2","1983005324.4","n/a","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/ssw",
"SSWA","Seaspan Corporation","25.58","0","n/a","2017","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sswa",
"SSWN","Seaspan Corporation","25.31","0","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sswn",
"SFL","Ship Finance International Limited","12.53","1495775328.25","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sfl",
